1.00	4.00	186.22	399.42	30
1.00	4.00	191.04	399.73	31
1.00	4.00	196.12	399.96	32
1.00	4.00	201.97	399.42	33
1.00	4.00	208.66	399.93	34
1.00	4.00	216.22	400.09	35
1.00	4.00	224.42	400.30	36
1.00	4.00	231.35	399.61	37
1.00	4.00	239.80	399.71	38
1.00	4.00	249.16	399.33	39
1.00	4.00	259.34	399.38	40
1.00	5.00	412.02	31.82	 0
1.00	5.00	401.04	32.29	 1
1.00	5.00	389.74	31.67	 2
1.00	5.00	377.86	31.74	 3
1.00	5.00	366.53	31.99	 4
1.00	5.00	355.30	31.59	 5
1.00	5.00	344.23	31.80	 6
1.00	5.00	333.14	31.78	 7
1.00	5.00	322.28	31.74	 8
1.00	5.00	311.78	31.89	 9
1.00	5.00	302.02	31.63	10
1.00	5.00	291.68	32.13	11
1.00	5.00	282.04	31.97	12
1.00	5.00	273.18	31.98	13
1.00	5.00	264.61	32.35	14
1.00	5.00	256.21	32.01	15
1.00	5.00	248.27	31.84	16
1.00	5.00	240.35	32.41	17
1.00	5.00	233.47	32.02	18
1.00	5.00	226.98	31.98	19
1.00	5.00	220.48	31.26	20
1.00	5.00	214.79	31.66	21
1.00	5.00	209.46	31.88	22
1.00	5.00	204.69	32.07	23
1.00	5.00	200.06	32.10	24
1.00	5.00	196.28	32.11	25
1.00	5.00	193.62	31.98	26
1.00	5.00	191.16	32.12	27
1.00	5.00	189.49	32.54	28
1.00	5.00	188.32	32.44	29
1.00	5.00	187.66	32.17	30
1.00	5.00	187.73	32.16	31
1.00	5.00	188.09	32.20	32
1.00	5.00	189.77	32.12	33
1.00	5.00	191.50	31.90	34
1.00	5.00	194.06	32.08	35
1.00	5.00	196.66	31.58	36
1.00	5.00	200.97	32.02	37
1.00	5.00	205.59	31.92	38
1.00	5.00	210.05	32.10	39
1.00	5.00	216.49	32.30	40
1.00	6.00	572.07	434.74	 0
1.00	6.00	590.28	434.31	 1
1.00	6.00	607.04	434.01	 2
1.00	6.00	623.32	434.75	 3
1.00	6.00	640.18	434.12	 4
1.00	6.00	655.59	434.68	 5
1.00	6.00	670.79	434.20	 6
1.00	6.00	684.90	434.53	 7
1.00	6.00	698.38	434.70	 8
1.00	6.00	711.45	434.55	 9
1.00	6.00	723.06	434.29	10
1.00	6.00	734.45	434.19	11
1.00	6.00	744.53	434.30	12
1.00	6.00	753.52	434.20	13
1.00	6.00	761.64	434.19	14
1.00	6.00	768.54	434.23	15
1.00	6.00	774.75	434.18	16
1.00	6.00	780.48	434.63	17
1.00	6.00	784.64	434.68	18
1.00	6.00	787.42	434.37	19
1.00	6.00	790.38	434.78	20
1.00	6.00	791.00	434.34	21
1.00	6.00	791.87	434.45	22
1.00	6.00	791.44	434.49	23
1.00	6.00	789.87	434.62	24
1.00	6.00	787.23	434.73	25
1.00	6.00	783.38	434.51	26
1.00	6.00	778.29	434.49	27
1.00	6.00	772.60	434.46	28
1.00	6.00	765.74	434.17	29
1.00	6.00	757.78	434.68	30
1.00	6.00	749.15	434.42	31
1.00	6.00	739.42	434.60	32
1.00	6.00	728.80	434.42	33
1.00	6.00	717.20	434.58	34
1.00	6.00	704.94	434.44	35
1.00	6.00	690.82	434.82	36
1.00	6.00	677.07	434.58	37
1.00	6.00	661.85	434.43	38
1.00	6.00	646.28	434.51	39
1.00	6.00	630.24	435.02	40
1.00	7.00	817.88	421.83	19
1.00	7.00	818.49	421.66	20
1.00	7.00	820.43	421.94	21
1.00	6.00	253.60	317.60	 0
1.00	6.00	589.60	424.00	 0
1.00	6.00	666.40	458.40	 0
1.00	6.00	662.40	496.80	 0
1.00	6.00	693.60	490.40	 0
1.00	6.00	687.20	525.60	 0
1.00	6.00	720.80	619.20	 0
1.00	6.00	604.00	770.40	 0
1.00	6.00	140.00	684.80	 0
1.00	6.00	116.80	641.60	 0
1.00	6.00	19.20	654.40	 0
1.00	6.00	37.60	617.60	 0
1.00	6.00	109.60	208.00	 0
1.00	6.00	100.80	5.60	 0
1.00	6.00	27.20	77.60	 0
1.00	6.00	76.80	59.20	 0
1.00	6.00	79.20	272.00	 0
1.00	6.00	127.20	426.40	 0
1.00	6.00	106.40	463.20	 0
1.00	6.00	40.00	500.80	 0
1.00	6.00	24.80	525.60	 0
1.00	6.00	27.20	509.60	 0
1.00	6.00	608.80	424.80	 1
1.00	6.00	691.20	460.00	 1
1.00	6.00	684.00	497.60	 1
1.00	6.00	724.00	492.00	 1
1.00	6.00	716.80	526.40	 1
1.00	6.00	752.00	619.20	 1
1.00	6.00	627.20	769.60	 1
1.00	6.00	236.80	319.20	 1
1.00	6.00	79.20	209.60	 1
1.00	6.00	52.00	55.20	 1
1.00	6.00	51.20	56.00	 1
1.00	6.00	93.60	424.80	 1
1.00	6.00	66.40	464.00	 1
1.00	6.00	14.40	501.60	 1
1.00	6.00	104.80	685.60	 1
1.00	6.00	77.60	642.40	 1
1.00	6.00	627.20	424.00	 2
1.00	6.00	717.60	458.40	 2
1.00	6.00	751.20	490.40	 2
1.00	6.00	743.20	525.60	 2
1.00	6.00	648.80	769.60	 2
1.00	6.00	780.80	617.60	 2
1.00	6.00	49.60	209.60	 2
1.00	6.00	220.80	318.40	 2
1.00	6.00	58.40	424.00	 2
1.00	6.00	27.20	463.20	 2
1.00	6.00	68.00	684.00	 2
1.00	6.00	704.00	497.60	 2
1.00	6.00	644.80	423.20	 3
1.00	6.00	740.00	458.40	 3
1.00	6.00	724.00	497.60	 3
1.00	6.00	777.60	490.40	 3
1.00	6.00	768.80	524.00	 3
1.00	6.00	668.80	769.60	 3
1.00	6.00	32.00	684.00	 3
1.00	6.00	205.60	316.80	 3
1.00	6.00	20.80	209.60	 3
1.00	6.00	27.20	424.00	 3
1.00	6.00	189.60	316.80	 4
1.00	6.00	660.80	424.00	 4
1.00	6.00	762.40	458.40	 4
1.00	6.00	803.20	490.40	 4
1.00	6.00	794.40	524.00	 4
1.00	6.00	688.00	770.40	 4
1.00	6.00	740.80	496.80	 4
1.00	6.00	173.60	316.80	 5
1.00	6.00	680.00	423.20	 5
1.00	6.00	786.40	458.40	 5
1.00	6.00	760.80	496.00	 5
1.00	6.00	708.80	769.60	 5
1.00	6.00	160.00	317.60	 6
1.00	6.00	694.40	422.40	 6
1.00	6.00	805.60	458.40	 6
1.00	6.00	776.80	497.60	 6
1.00	6.00	728.00	769.60	 6
1.00	6.00	146.40	317.60	 7
1.00	6.00	710.40	424.00	 7
1.00	6.00	792.00	497.60	 7
1.00	6.00	745.60	768.80	 7
1.00	6.00	133.60	316.80	 8
1.00	6.00	724.80	423.20	 8
1.00	6.00	808.00	496.80	 8
1.00	6.00	762.40	768.80	 8
1.00	6.00	120.80	317.60	 9
1.00	6.00	737.60	424.00	 9
1.00	6.00	779.20	770.40	 9
1.00	6.00	736.80	819.20	 9
1.00	6.00	109.60	316.80	10
1.00	6.00	750.40	423.20	10
1.00	6.00	793.60	769.60	10
1.00	6.00	98.40	316.80	11
1.00	6.00	762.40	422.40	11
1.00	6.00	804.80	768.00	11
1.00	6.00	88.80	317.60	12
1.00	6.00	772.00	424.00	12
1.00	6.00	80.00	316.80	13
1.00	6.00	782.40	424.00	13
1.00	6.00	72.00	316.00	14
1.00	6.00	792.00	423.20	14
1.00	6.00	65.60	316.00	15
1.00	6.00	800.00	423.20	15
1.00	6.00	59.20	316.00	16
1.00	6.00	805.60	423.20	16
1.00	6.00	54.40	316.00	17
1.00	6.00	808.80	423.20	17
1.00	6.00	48.80	316.00	18
1.00	6.00	815.20	423.20	18
1.00	6.00	43.20	316.00	20
1.00	6.00	42.40	316.00	21
1.00	6.00	42.40	316.00	22
1.00	6.00	43.20	316.00	23
1.00	6.00	44.80	316.00	24
1.00	6.00	46.40	316.00	25
1.00	6.00	816.00	424.00	25
1.00	6.00	51.20	316.00	26
1.00	6.00	813.60	424.00	26
1.00	6.00	56.00	316.00	27
1.00	6.00	806.40	424.00	27
1.00	6.00	62.40	316.00	28
1.00	6.00	799.20	423.20	28
1.00	6.00	68.80	316.00	29
1.00	6.00	792.00	423.20	29
1.00	6.00	76.00	316.00	30
1.00	6.00	784.80	423.20	30
1.00	6.00	85.60	316.00	31
1.00	6.00	773.60	423.20	31
1.00	6.00	93.60	316.00	32
1.00	6.00	763.20	424.00	32
1.00	6.00	796.80	496.80	32
1.00	6.00	103.20	316.00	33
1.00	6.00	752.00	424.00	33
1.00	6.00	780.80	496.80	33
1.00	6.00	12.00	500.00	34
1.00	6.00	1.60	505.60	34
1.00	6.00	115.20	316.00	34
1.00	6.00	740.80	424.00	34
1.00	6.00	764.80	497.60	34
1.00	6.00	38.40	500.00	35
1.00	6.00	24.80	505.60	35
1.00	6.00	20.80	523.20	35
1.00	6.00	126.40	316.00	35
1.00	6.00	724.80	424.00	35
1.00	6.00	744.80	497.60	35
1.00	6.00	62.40	500.00	36
1.00	6.00	51.20	505.60	36
1.00	6.00	47.20	523.20	36
1.00	6.00	4.80	625.60	36
1.00	6.00	23.20	750.40	36
1.00	6.00	140.00	316.00	36
1.00	6.00	709.60	422.40	36
1.00	6.00	727.20	497.60	36
1.00	6.00	758.40	771.20	36
1.00	6.00	90.40	500.00	37
1.00	6.00	77.60	505.60	37
1.00	6.00	75.20	523.20	37
1.00	6.00	39.20	625.60	37
1.00	6.00	57.60	750.40	37
1.00	6.00	152.80	317.60	37
1.00	6.00	695.20	424.00	37
1.00	6.00	707.20	497.60	37
1.00	6.00	743.20	770.40	37
1.00	6.00	117.60	500.00	38
1.00	6.00	107.20	505.60	38
1.00	6.00	104.00	526.40	38
1.00	6.00	71.20	628.00	38
1.00	6.00	90.40	752.80	38
1.00	6.00	168.00	317.60	38
1.00	6.00	679.20	424.00	38
1.00	6.00	687.20	497.60	38
1.00	6.00	725.60	770.40	38
1.00	6.00	767.20	458.40	38
1.00	6.00	22.40	4.80	39
1.00	6.00	12.80	208.80	39
1.00	6.00	148.00	500.00	39
1.00	6.00	136.80	508.00	39
1.00	6.00	133.60	524.00	39
1.00	6.00	104.00	628.00	39
1.00	6.00	124.00	751.20	39
1.00	6.00	182.40	317.60	39
1.00	6.00	662.40	424.00	39
1.00	6.00	664.80	497.60	39
1.00	6.00	706.40	770.40	39
1.00	6.00	51.20	5.60	40
1.00	6.00	40.80	208.80	40
1.00	6.00	175.20	500.00	40
1.00	6.00	167.20	508.00	40
1.00	6.00	164.80	524.00	40
1.00	6.00	138.40	628.00	40
1.00	6.00	156.00	751.20	40
1.00	6.00	200.00	317.60	40
1.00	6.00	644.00	424.00	40
1.00	6.00	644.00	497.60	40
1.00	6.00	686.40	770.40	40
1.00	6.00	717.60	458.40	40
1.00	6.00	749.60	489.60	40
1.00	6.00	746.40	532.80	40
